layer,head,position,normalized_effect,published_class
6,4,S2+1,-0.000211,
6,4,END,-0.000377,
6,5,IO,-0.000064,
6,5,IO+1,-0.000144,
6,5,S1,0.000022,
6,5,S1+1,0.000086,
6,5,S2,-0.000430,
6,5,S2+1,-0.000253,
6,5,END,-0.000094,
6,6,IO,-0.000387,
6,6,IO+1,-0.000174,
6,6,S1,0.000198,
6,6,S1+1,0.000094,
6,6,S2,0.002314,
6,6,S2+1,-0.000361,
6,6,END,0.000249,
6,7,IO,0.000242,
6,7,IO+1,0.000358,
6,7,S1,-0.000434,
6,7,S1+1,-0.000441,
6,7,S2,-0.000024,
6,7,S2+1,-0.000153,
6,7,END,-0.000696,
6,8,IO,-0.000190,
6,8,IO+1,0.000220,
6,8,S1,0.000410,
6,8,S1+1,0.000119,
6,8,S2,-0.000047,
6,8,S2+1,0.000341,
6,8,END,-0.000453,
6,9,IO,0.000013,induction
6,9,IO+1,-0.000002,induction
6,9,S1,0.000009,induction
6,9,S1+1,-0.000003,induction
6,9,S2,0.000334,induction
6,9,S2+1,-0.000006,induction
6,9,END,-0.000243,induction
6,10,IO,0.000028,
6,10,IO+1,0.000011,
6,10,S1,0.000026,
6,10,S1+1,-0.000008,
6,10,S2,-0.000144,
6,10,S2+1,-0.000064,
6,10,END,-0.000158,
6,11,IO,0.000279,
6,11,IO+1,0.000019,
6,11,S1,-0.000062,
6,11,S1+1,-0.000007,
6,11,S2,-0.000160,
6,11,S2+1,-0.000022,
6,11,END,-0.000049,
7,0,IO,-0.000482,
7,0,IO+1,0.000087,
7,0,S1,0.000093,
7,0,S1+1,-0.000041,
7,0,S2,0.000055,
7,0,S2+1,-0.000004,
7,0,END,0.000096,
7,1,IO,0.000356,
7,1,IO+1,0.000111,
7,1,S1,-0.000268,
7,1,S1+1,-0.000066,
7,1,S2,0.000223,
7,1,S2+1,-0.000079,
7,1,END,-0.000327,
7,2,IO,-0.000002,
7,2,IO+1,-0.000005,
7,2,S1,-0.000001,
7,2,S1+1,-0.000002,
7,2,S2,-0.000026,
7,2,S2+1,-0.000004,
7,2,END,-0.000087,
7,3,IO,0.000141,s-inhibition
7,3,IO+1,0.000483,s-inhibition
7,3,S1,-0.000067,s-inhibition
7,3,S1+1,-0.000130,s-inhibition
7,3,S2,0.000216,s-inhibition
7,3,S2+1,0.001700,s-inhibition
7,3,END,0.030729,s-inhibition
7,4,IO,-0.000393,
7,4,IO+1,0.000037,
7,4,S1,0.000623,
7,4,S1+1,-0.000023,
7,4,S2,-0.000168,
7,4,S2+1,0.000011,
7,4,END,-0.000375,
7,5,IO,-0.000053,
7,5,IO+1,0.000021,
7,5,S1,-0.000331,
7,5,S1+1,-0.000089,
7,5,S2,0.000420,
7,5,S2+1,-0.000104,
7,5,END,-0.004308,
7,6,IO,-0.000494,
7,6,IO+1,0.000010,
7,6,S1,-0.000031,
7,6,S1+1,-0.000200,
7,6,S2,0.000217,
7,6,S2+1,0.000138,
7,6,END,0.000482,
7,7,IO,0.000054,
7,7,IO+1,-0.000132,
7,7,S1,-0.000077,
7,7,S1+1,0.000144,
7,7,S2,0.000078,
7,7,S2+1,-0.000226,
7,7,END,-0.000257,
7,8,IO,-0.001163,
7,8,IO+1,0.000019,
7,8,S1,0.001092,
7,8,S1+1,-0.000002,
7,8,S2,-0.000049,
7,8,S2+1,-0.000034,
7,8,END,-0.001125,
7,9,IO,0.000002,s-inhibition
7,9,IO+1,0.000487,s-inhibition
7,9,S1,0.000057,s-inhibition
7,9,S1+1,-0.000516,s-inhibition
7,9,S2,-0.000464,s-inhibition
7,9,S2+1,0.000553,s-inhibition
7,9,END,0.043531,s-inhibition
7,10,IO,0.000005,
7,10,IO+1,0.000036,
7,10,S1,-0.000022,
7,10,S1+1,0.000009,
7,10,S2,0.000859,
7,10,S2+1,0.000008,
7,10,END,-0.000390,
7,11,IO,0.000050,
7,11,IO+1,0.000019,
7,11,S1,0.000007,
7,11,S1+1,0.000003,
7,11,S2,0.000509,
7,11,S2+1,-0.000031,
7,11,END,-0.001041,
8,0,IO,-0.000407,
8,0,IO+1,-0.000025,
8,0,S1,0.000326,
8,0,S1+1,0.000030,
8,0,S2,0.000543,
8,0,S2+1,0.000051,
8,0,END,0.000226,
8,1,IO,0.000001,
8,1,IO+1,0.000004,
8,1,S1,0.000042,
8,1,S1+1,0.000013,
8,1,S2,0.000051,
8,1,S2+1,-0.000000,
8,1,END,-0.000114,
8,2,IO,-0.000217,
8,2,IO+1,0.000316,
8,2,S1,0.000354,
8,2,S1+1,-0.000365,
8,2,S2,0.000029,
8,2,S2+1,-0.000547,
8,2,END,-0.008045,
8,3,IO,0.000024,
8,3,IO+1,-0.000083,
8,3,S1,-0.000078,
8,3,S1+1,0.000043,
8,3,S2,-0.000270,
8,3,S2+1,-0.000105,
8,3,END,0.003103,
8,4,IO,0.000083,
8,4,IO+1,0.000025,
8,4,S1,0.000080,
8,4,S1+1,-0.000016,
8,4,S2,-0.000027,
8,4,S2+1,-0.000009,
8,4,END,0.000463,
8,5,IO,0.000040,
8,5,IO+1,0.000104,
8,5,S1,0.000174,
8,5,S1+1,-0.000012,
8,5,S2,-0.000020,
8,5,S2+1,-0.000190,
8,5,END,-0.000912,
8,6,IO,-0.000352,s-inhibition
8,6,IO+1,-0.000220,s-inhibition
8,6,S1,0.000219,s-inhibition
8,6,S1+1,-0.000255,s-inhibition
8,6,S2,-0.000002,s-inhibition
8,6,S2+1,-0.001128,s-inhibition
8,6,END,-0.014237,s-inhibition
8,7,IO,-0.000030,
8,7,IO+1,0.000035,
8,7,S1,0.000136,
8,7,S1+1,-0.000017,
8,7,S2,-0.000066,
8,7,S2+1,0.000010,
8,7,END,0.001220,
8,8,IO,0.000077,
8,8,IO+1,0.000126,
8,8,S1,-0.000166,
8,8,S1+1,-0.000242,
8,8,S2,-0.000083,
8,8,S2+1,-0.000096,
8,8,END,-0.004702,
8,9,IO,-0.000076,
8,9,IO+1,0.000048,
8,9,S1,-0.000031,
8,9,S1+1,-0.000076,
8,9,S2,-0.000037,
8,9,S2+1,0.000147,
8,9,END,0.001072,
8,10,IO,-0.000246,s-inhibition
8,10,IO+1,-0.000119,s-inhibition
8,10,S1,0.000420,s-inhibition
8,10,S1+1,-0.000084,s-inhibition
8,10,S2,0.001612,s-inhibition
8,10,S2+1,0.001877,s-inhibition
8,10,END,0.062820,s-inhibition
8,11,IO,0.000667,
8,11,IO+1,0.000751,
8,11,S1,-0.000641,
8,11,S1+1,-0.000415,
8,11,S2,-0.000093,
8,11,S2+1,-0.000300,
8,11,END,0.006017,
9,0,IO,0.001852,backup name mover
9,0,IO+1,0.000762,backup name mover
9,0,S1,-0.001210,backup name mover
9,0,S1+1,-0.000786,backup name mover
9,0,S2,-0.000277,backup name mover
9,0,S2+1,0.000167,backup name mover
9,0,END,0.018173,backup name mover
9,1,IO,-0.000073,
9,1,IO+1,-0.000065,
9,1,S1,0.000038,
9,1,S1+1,0.000045,
9,1,S2,0.000125,
9,1,S2+1,0.000001,
9,1,END,0.000007,
9,2,IO,0.000493,
9,2,IO+1,0.000261,
9,2,S1,-0.000404,
9,2,S1+1,-0.000211,
9,2,S2,-0.000069,
9,2,S2+1,0.000128,
9,2,END,0.011428,
9,3,IO,-0.000218,
9,3,IO+1,0.000074,
9,3,S1,-0.000139,
9,3,S1+1,-0.000086,
9,3,S2,-0.000243,
9,3,S2+1,0.000034,
9,3,END,0.003543,
9,4,IO,0.000056,
9,4,IO+1,0.000156,
9,4,S1,0.000078,
9,4,S1+1,-0.000099,
9,4,S2,0.000393,
9,4,S2+1,-0.000090,
9,4,END,-0.004238,
9,5,IO,-0.000398,
9,5,IO+1,-0.000165,
9,5,S1,0.000464,
9,5,S1+1,0.000127,
9,5,S2,0.000655,
9,5,S2+1,0.000523,
9,5,END,0.013572,
9,6,IO,0.000172,name mover
9,6,IO+1,0.001274,name mover
9,6,S1,-0.000217,name mover
9,6,S1+1,-0.001670,name mover
9,6,S2,0.000126,name mover
9,6,S2+1,0.003730,name mover
9,6,END,0.292192,name mover
9,7,IO,-0.000085,backup name mover
9,7,IO+1,-0.000330,backup name mover
9,7,S1,-0.000037,backup name mover
9,7,S1+1,0.000481,backup name mover
9,7,S2,-0.001087,backup name mover
9,7,S2+1,0.000421,backup name mover
9,7,END,0.041342,backup name mover
9,8,IO,0.002943,
9,8,IO+1,0.001840,
9,8,S1,-0.002901,
9,8,S1+1,-0.001737,
9,8,S2,-0.001854,
9,8,S2+1,-0.000533,
9,8,END,-0.016452,
9,9,IO,0.000251,name mover
9,9,IO+1,0.000815,name mover
9,9,S1,-0.000315,name mover
9,9,S1+1,-0.000872,name mover
9,9,S2,-0.000174,name mover
9,9,S2+1,0.009860,name mover
9,9,END,0.781969,name mover
9,10,IO,-0.000059,
9,10,IO+1,0.000006,
9,10,S1,0.000120,
9,10,S1+1,0.000000,
9,10,S2,-0.000061,
9,10,S2+1,0.000008,
9,10,END,-0.000261,
9,11,IO,-0.000007,
9,11,IO+1,0.000006,
9,11,S1,0.000033,
9,11,S1+1,-0.000009,
9,11,S2,0.000016,
9,11,S2+1,-0.000029,
9,11,END,-0.001045,
10,0,IO,0.001130,name mover
10,0,IO+1,0.003664,name mover
10,0,S1,-0.000914,name mover
10,0,S1+1,-0.003235,name mover
10,0,S2,-0.001085,name mover
10,0,S2+1,0.004162,name mover
10,0,END,0.185301,name mover
10,1,IO,0.000079,backup name mover
10,1,IO+1,0.000412,backup name mover
10,1,S1,0.000086,backup name mover
10,1,S1+1,-0.000369,backup name mover
10,1,S2,0.000010,backup name mover
10,1,S2+1,0.000640,backup name mover
10,1,END,0.075848,backup name mover
10,2,IO,0.000046,backup name mover
10,2,IO+1,0.000814,backup name mover
10,2,S1,-0.000013,backup name mover
10,2,S1+1,-0.000829,backup name mover
10,2,S2,-0.000296,backup name mover
10,2,S2+1,0.000355,backup name mover
10,2,END,0.025203,backup name mover
10,3,IO,-0.000243,
10,3,IO+1,0.000472,
10,3,S1,-0.000033,
10,3,S1+1,-0.000410,
10,3,S2,0.000157,
10,3,S2+1,0.000081,
10,3,END,0.005942,
10,4,IO,-0.000063,
10,4,IO+1,-0.000122,
10,4,S1,-0.000033,
10,4,S1+1,-0.000034,
10,4,S2,0.000169,
10,4,S2+1,-0.000088,
10,4,END,-0.001031,
10,5,IO,0.000036,
10,5,IO+1,-0.000003,
10,5,S1,-0.000101,
10,5,S1+1,-0.000001,
10,5,S2,-0.000009,
10,5,S2+1,0.000031,
10,5,END,0.000286,
10,6,IO,0.000224,backup name mover
10,6,IO+1,0.001157,backup name mover
10,6,S1,-0.000520,backup name mover
10,6,S1+1,-0.001103,backup name mover
10,6,S2,-0.000042,backup name mover
10,6,S2+1,0.002795,backup name mover
10,6,END,0.091757,backup name mover
10,7,IO,-0.000727,negative name mover
10,7,IO+1,-0.002387,negative name mover
10,7,S1,0.000584,negative name mover
10,7,S1+1,0.002104,negative name mover
10,7,S2,0.000124,negative name mover
10,7,S2+1,-0.004444,negative name mover
10,7,END,-0.511409,negative name mover
10,8,IO,-0.000159,
10,8,IO+1,-0.000021,
10,8,S1,0.000056,
10,8,S1+1,0.000017,
10,8,S2,0.000030,
10,8,S2+1,0.000018,
10,8,END,-0.000205,
10,9,IO,-0.000032,
10,9,IO+1,0.000065,
10,9,S1,-0.000154,
10,9,S1+1,-0.000016,
10,9,S2,-0.000321,
10,9,S2+1,0.000035,
10,9,END,0.004797,
10,10,IO,0.000165,backup name mover
10,10,IO+1,0.000340,backup name mover
10,10,S1,-0.000099,backup name mover
10,10,S1+1,-0.000444,backup name mover
10,10,S2,-0.000006,backup name mover
10,10,S2+1,0.002248,backup name mover
10,10,END,0.134959,backup name mover
10,11,IO,0.000038,
10,11,IO+1,0.000095,
10,11,S1,0.000017,
10,11,S1+1,-0.000078,
10,11,S2,0.000120,
10,11,S2+1,0.000058,
10,11,END,0.003149,
11,0,IO,0.000000,
11,0,IO+1,0.000000,
11,0,S1,0.000000,
11,0,S1+1,0.000000,
11,0,S2,0.000000,
