corruption,component,layer,position,effect
random_vocab_cdef,resid_pre,1,END,0.001977
random_vocab_cdef,resid_pre,2,A_def,0.000000
random_vocab_cdef,resid_pre,2,B_def,0.000000
random_vocab_cdef,resid_pre,2,comma_B,0.000000
random_vocab_cdef,resid_pre,2,C_def,0.962868
random_vocab_cdef,resid_pre,2,A_doc,0.000784
random_vocab_cdef,resid_pre,2,B_doc,0.000575
random_vocab_cdef,resid_pre,2,END,0.005490
random_vocab_cdef,resid_pre,3,A_def,0.000000
random_vocab_cdef,resid_pre,3,B_def,0.000000
random_vocab_cdef,resid_pre,3,comma_B,0.000000
random_vocab_cdef,resid_pre,3,C_def,0.882885
random_vocab_cdef,resid_pre,3,A_doc,0.002238
random_vocab_cdef,resid_pre,3,B_doc,0.003358
random_vocab_cdef,resid_pre,3,END,0.072846
random_vocab_cdef,attn_out,0,A_def,0.000000
random_vocab_cdef,attn_out,0,B_def,0.000000
random_vocab_cdef,attn_out,0,comma_B,0.000000
random_vocab_cdef,attn_out,0,C_def,0.289841
random_vocab_cdef,attn_out,0,A_doc,0.000713
random_vocab_cdef,attn_out,0,B_doc,0.000352
random_vocab_cdef,attn_out,0,END,0.001977
random_vocab_cdef,attn_out,1,A_def,0.000000
random_vocab_cdef,attn_out,1,B_def,0.000000
random_vocab_cdef,attn_out,1,comma_B,0.000000
random_vocab_cdef,attn_out,1,C_def,0.015483
random_vocab_cdef,attn_out,1,A_doc,0.000452
random_vocab_cdef,attn_out,1,B_doc,0.000280
random_vocab_cdef,attn_out,1,END,0.003610
random_vocab_cdef,attn_out,2,A_def,0.000000
random_vocab_cdef,attn_out,2,B_def,0.000000
random_vocab_cdef,attn_out,2,comma_B,0.000000
random_vocab_cdef,attn_out,2,C_def,0.028898
random_vocab_cdef,attn_out,2,A_doc,0.001381
random_vocab_cdef,attn_out,2,B_doc,0.002665
random_vocab_cdef,attn_out,2,END,0.068565
random_vocab_cdef,attn_out,3,A_def,0.000000
random_vocab_cdef,attn_out,3,B_def,0.000000
