corruption,component,layer,position,effect,published_mlp
random_vocab_any,resid_pre,11,NOUN,0.000234,
random_vocab_any,resid_pre,11,XX1,0.001203,
random_vocab_any,resid_pre,11,YY,0.000883,
random_vocab_any,resid_pre,11,YY+1,-0.000805,
random_vocab_any,resid_pre,11,END,0.998145,
random_vocab_any,attn_out,0,NOUN,0.001983,
random_vocab_any,attn_out,0,XX1,0.000230,
random_vocab_any,attn_out,0,YY,0.004579,
random_vocab_any,attn_out,0,YY+1,0.015214,
random_vocab_any,attn_out,0,END,0.003537,
random_vocab_any,attn_out,1,NOUN,0.001463,
random_vocab_any,attn_out,1,XX1,0.001020,
random_vocab_any,attn_out,1,YY,0.001856,
random_vocab_any,attn_out,1,YY+1,0.004395,
random_vocab_any,attn_out,1,END,-0.005232,
random_vocab_any,attn_out,2,NOUN,0.002584,
random_vocab_any,attn_out,2,XX1,0.000487,
random_vocab_any,attn_out,2,YY,0.020572,
random_vocab_any,attn_out,2,YY+1,0.009998,
random_vocab_any,attn_out,2,END,0.001997,
random_vocab_any,attn_out,3,NOUN,0.000859,
random_vocab_any,attn_out,3,XX1,0.007399,
random_vocab_any,attn_out,3,YY,0.011595,
random_vocab_any,attn_out,3,YY+1,-0.001510,
random_vocab_any,attn_out,3,END,0.019697,
random_vocab_any,attn_out,4,NOUN,-0.000023,
random_vocab_any,attn_out,4,XX1,-0.002259,
random_vocab_any,attn_out,4,YY,0.021552,
random_vocab_any,attn_out,4,YY+1,-0.007965,
random_vocab_any,attn_out,4,END,0.062987,
random_vocab_any,attn_out,5,NOUN,0.000169,
random_vocab_any,attn_out,5,XX1,-0.001680,
random_vocab_any,attn_out,5,YY,0.007395,
random_vocab_any,attn_out,5,YY+1,-0.001383,
random_vocab_any,attn_out,5,END,0.103450,
random_vocab_any,attn_out,6,NOUN,0.000070,
random_vocab_any,attn_out,6,XX1,-0.000411,
random_vocab_any,attn_out,6,YY,0.006568,
random_vocab_any,attn_out,6,YY+1,0.000222,
random_vocab_any,attn_out,6,END,0.023801,
random_vocab_any,attn_out,7,NOUN,0.000040,
random_vocab_any,attn_out,7,XX1,-0.000675,
random_vocab_any,attn_out,7,YY,-0.005717,
random_vocab_any,attn_out,7,YY+1,0.004876,
random_vocab_any,attn_out,7,END,0.060954,
random_vocab_any,attn_out,8,NOUN,0.000030,
random_vocab_any,attn_out,8,XX1,0.000392,
random_vocab_any,attn_out,8,YY,0.003254,
random_vocab_any,attn_out,8,YY+1,-0.001393,
random_vocab_any,attn_out,8,END,0.083169,
random_vocab_any,attn_out,9,NOUN,0.000011,
random_vocab_any,attn_out,9,XX1,0.000137,
random_vocab_any,attn_out,9,YY,0.001060,
random_vocab_any,attn_out,9,YY+1,-0.000157,
random_vocab_any,attn_out,9,END,0.063489,
random_vocab_any,attn_out,10,NOUN,0.000016,
random_vocab_any,attn_out,10,XX1,-0.000122,
random_vocab_any,attn_out,10,YY,0.000187,
random_vocab_any,attn_out,10,YY+1,-0.000420,
random_vocab_any,attn_out,10,END,0.002341,
random_vocab_any,attn_out,11,NOUN,0.000000,
random_vocab_any,attn_out,11,XX1,0.000000,
random_vocab_any,attn_out,11,YY,0.000000,
random_vocab_any,attn_out,11,YY+1,0.000000,
random_vocab_any,attn_out,11,END,0.000247,
random_vocab_any,mlp_out,0,NOUN,0.004474,
random_vocab_any,mlp_out,0,XX1,0.029794,
random_vocab_any,mlp_out,0,YY,0.168031,
random_vocab_any,mlp_out,0,YY+1,0.091867,
random_vocab_any,mlp_out,0,END,0.282313,
random_vocab_any,mlp_out,1,NOUN,0.002497,
random_vocab_any,mlp_out,1,XX1,0.000184,
random_vocab_any,mlp_out,1,YY,-0.006588,
random_vocab_any,mlp_out,1,YY+1,-0.006856,
random_vocab_any,mlp_out,1,END,-0.007735,
random_vocab_any,mlp_out,2,NOUN,0.002477,
random_vocab_any,mlp_out,2,XX1,0.002966,
random_vocab_any,mlp_out,2,YY,0.005140,
random_vocab_any,mlp_out,2,YY+1,0.020329,
random_vocab_any,mlp_out,2,END,-0.007937,
random_vocab_any,mlp_out,3,NOUN,0.000022,
random_vocab_any,mlp_out,3,XX1,-0.004226,
random_vocab_any,mlp_out,3,YY,-0.000314,
random_vocab_any,mlp_out,3,YY+1,0.011924,
random_vocab_any,mlp_out,3,END,-0.003786,
random_vocab_any,mlp_out,4,NOUN,0.000567,
random_vocab_any,mlp_out,4,XX1,-0.000408,
random_vocab_any,mlp_out,4,YY,-0.002909,
random_vocab_any,mlp_out,4,YY+1,-0.003243,
random_vocab_any,mlp_out,4,END,0.009747,
random_vocab_any,mlp_out,5,NOUN,0.000297,
random_vocab_any,mlp_out,5,XX1,-0.004474,
random_vocab_any,mlp_out,5,YY,-0.009134,
random_vocab_any,mlp_out,5,YY+1,0.014112,
random_vocab_any,mlp_out,5,END,0.056942,
random_vocab_any,mlp_out,6,NOUN,0.000192,
random_vocab_any,mlp_out,6,XX1,-0.004117,
random_vocab_any,mlp_out,6,YY,0.012671,
random_vocab_any,mlp_out,6,YY+1,-0.005127,
random_vocab_any,mlp_out,6,END,0.022149,
random_vocab_any,mlp_out,7,NOUN,-0.000038,
random_vocab_any,mlp_out,7,XX1,-0.000082,
random_vocab_any,mlp_out,7,YY,-0.000046,
random_vocab_any,mlp_out,7,YY+1,-0.001502,
random_vocab_any,mlp_out,7,END,0.074667,
random_vocab_any,mlp_out,8,NOUN,-0.000049,yes
random_vocab_any,mlp_out,8,XX1,-0.002953,yes
random_vocab_any,mlp_out,8,YY,-0.009639,yes
random_vocab_any,mlp_out,8,YY+1,-0.000940,yes
random_vocab_any,mlp_out,8,END,0.259746,yes
random_vocab_any,mlp_out,9,NOUN,0.000095,yes
random_vocab_any,mlp_out,9,XX1,0.000197,yes
random_vocab_any,mlp_out,9,YY,0.000537,yes
random_vocab_any,mlp_out,9,YY+1,-0.000420,yes
random_vocab_any,mlp_out,9,END,0.262479,yes
random_vocab_any,mlp_out,10,NOUN,0.000073,yes
random_vocab_any,mlp_out,10,XX1,0.000314,yes
random_vocab_any,mlp_out,10,YY,-0.000031,yes
random_vocab_any,mlp_out,10,YY+1,0.000329,yes
random_vocab_any,mlp_out,10,END,0.350343,yes
random_vocab_any,mlp_out,11,NOUN,0.000000,yes
random_vocab_any,mlp_out,11,XX1,0.000000,yes
random_vocab_any,mlp_out,11,YY,0.000000,yes
random_vocab_any,mlp_out,11,YY+1,0.000000,yes
random_vocab_any,mlp_out,11,END,0.012505,yes
