group,scheme,position,layer,head,path_signal,published_class
abc round 1,abc,END,1,8,-0.000014,
abc round 1,abc,END,1,9,-0.000026,
abc round 1,abc,END,1,10,0.000032,
abc round 1,abc,END,1,11,-0.000087,
abc round 1,abc,END,2,0,-0.000005,
abc round 1,abc,END,2,1,0.000669,
abc round 1,abc,END,2,2,0.000013,previous token
abc round 1,abc,END,2,3,0.000010,
abc round 1,abc,END,2,4,0.000164,
abc round 1,abc,END,2,5,0.000046,
abc round 1,abc,END,2,6,-0.000016,
abc round 1,abc,END,2,7,0.000098,
abc round 1,abc,END,2,8,0.000109,
abc round 1,abc,END,2,9,0.000170,
abc round 1,abc,END,2,10,0.000247,
abc round 1,abc,END,2,11,-0.000005,
abc round 1,abc,END,3,0,-0.000008,duplicate token
abc round 1,abc,END,3,1,0.000135,
abc round 1,abc,END,3,2,0.000051,
abc round 1,abc,END,3,3,0.000656,
abc round 1,abc,END,3,4,0.000046,
abc round 1,abc,END,3,5,0.000443,
abc round 1,abc,END,3,6,0.000379,
abc round 1,abc,END,3,7,0.000131,
abc round 1,abc,END,3,8,-0.000017,
abc round 1,abc,END,3,9,0.000163,
abc round 1,abc,END,3,10,-0.000186,
abc round 1,abc,END,3,11,0.000177,
abc round 1,abc,END,4,0,0.000260,
abc round 1,abc,END,4,1,0.000026,
abc round 1,abc,END,4,2,0.000133,
abc round 1,abc,END,4,3,0.000344,
abc round 1,abc,END,4,4,-0.000008,
abc round 1,abc,END,4,5,0.000069,
abc round 1,abc,END,4,6,0.000230,
abc round 1,abc,END,4,7,-0.000423,
abc round 1,abc,END,4,8,0.000133,
abc round 1,abc,END,4,9,0.000191,
abc round 1,abc,END,4,10,-0.000005,
abc round 1,abc,END,4,11,0.000309,previous token
abc round 1,abc,END,5,0,-0.000019,
abc round 1,abc,END,5,1,0.000001,
abc round 1,abc,END,5,2,0.000115,
abc round 1,abc,END,5,3,0.000241,
abc round 1,abc,END,5,4,0.000297,
abc round 1,abc,END,5,5,-0.000032,induction
abc round 1,abc,END,5,6,0.000197,
abc round 1,abc,END,5,7,0.000579,
abc round 1,abc,END,5,8,0.000123,induction
abc round 1,abc,END,5,9,0.000307,induction
abc round 1,abc,END,5,10,0.000691,
abc round 1,abc,END,5,11,-0.000320,
abc round 1,abc,END,6,0,0.002414,
abc round 1,abc,END,6,1,0.004882,
abc round 1,abc,END,6,2,0.000055,
abc round 1,abc,END,6,3,0.000003,
abc round 1,abc,END,6,4,0.001497,
abc round 1,abc,END,6,5,-0.000611,
abc round 1,abc,END,6,6,0.000017,
abc round 1,abc,END,6,7,0.000099,
abc round 1,abc,END,6,8,0.000271,
abc round 1,abc,END,6,9,0.000148,induction
abc round 1,abc,END,6,10,0.000822,
abc round 1,abc,END,6,11,0.000122,
abc round 1,abc,END,7,0,0.000263,
abc round 1,abc,END,7,1,-0.000325,
abc round 1,abc,END,7,2,0.000065,
abc round 1,abc,END,7,3,0.042518,s-inhibition
abc round 1,abc,END,7,4,-0.000197,
abc round 1,abc,END,7,5,-0.003126,
abc round 1,abc,END,7,6,0.002036,
abc round 1,abc,END,7,7,0.000617,
abc round 1,abc,END,7,8,-0.001894,
abc round 1,abc,END,7,9,0.078878,s-inhibition
abc round 1,abc,END,7,10,0.000429,
abc round 1,abc,END,7,11,0.003222,
abc round 1,abc,END,8,0,-0.000627,
abc round 1,abc,END,8,1,0.000215,
abc round 1,abc,END,8,2,0.006124,
abc round 1,abc,END,8,3,0.016724,
abc round 1,abc,END,8,4,0.000707,
abc round 1,abc,END,8,5,0.009684,
abc round 1,abc,END,8,6,0.160069,s-inhibition
abc round 1,abc,END,8,7,0.003120,
abc round 1,abc,END,8,8,0.003386,
abc round 1,abc,END,8,9,0.000166,
abc round 1,abc,END,8,10,0.071008,s-inhibition
abc round 1,abc,END,8,11,0.008956,
abc round 2,abc,S2,0,0,0.000029,
abc round 2,abc,S2,0,1,0.100466,duplicate token
abc round 2,abc,S2,0,2,0.000359,
abc round 2,abc,S2,0,3,0.015069,
abc round 2,abc,S2,0,4,0.014889,
abc round 2,abc,S2,0,5,0.014106,
abc round 2,abc,S2,0,6,0.002634,
abc round 2,abc,S2,0,7,0.000808,
abc round 2,abc,S2,0,8,0.000561,
abc round 2,abc,S2,0,9,0.003823,
abc round 2,abc,S2,0,10,0.041696,duplicate token
abc round 2,abc,S2,0,11,-0.000276,
abc round 2,abc,S2,1,0,0.001606,
abc round 2,abc,S2,1,1,0.000150,
abc round 2,abc,S2,1,2,0.000049,
abc round 2,abc,S2,1,3,-0.000072,
abc round 2,abc,S2,1,4,-0.000025,
abc round 2,abc,S2,1,5,0.000137,
abc round 2,abc,S2,1,6,0.001486,
abc round 2,abc,S2,1,7,0.002157,
abc round 2,abc,S2,1,8,0.000061,
abc round 2,abc,S2,1,9,0.000163,
abc round 2,abc,S2,1,10,-0.000106,
abc round 2,abc,S2,1,11,0.004789,
abc round 2,abc,S2,2,0,-0.000667,
abc round 2,abc,S2,2,1,0.002408,
abc round 2,abc,S2,2,2,0.002444,previous token
abc round 2,abc,S2,2,3,0.000492,
abc round 2,abc,S2,2,4,0.000532,
abc round 2,abc,S2,2,5,-0.000191,
abc round 2,abc,S2,2,6,0.000644,
abc round 2,abc,S2,2,7,-0.000636,
abc round 2,abc,S2,2,8,0.000221,
abc round 2,abc,S2,2,9,0.000893,
abc round 2,abc,S2,2,10,0.000379,
abc round 2,abc,S2,2,11,-0.000219,
