corruption,metric,layer,head,position,effect,published_class
yy01,logit_diff,6,10,END,0.000615,
yy01,logit_diff,6,11,NOUN,0.000000,
yy01,logit_diff,6,11,XX1,0.000000,
yy01,logit_diff,6,11,YY,0.002400,
yy01,logit_diff,6,11,YY+1,0.000218,
yy01,logit_diff,6,11,END,0.001063,
yy01,logit_diff,7,0,NOUN,0.000000,
yy01,logit_diff,7,0,XX1,0.000000,
yy01,logit_diff,7,0,YY,0.000092,
yy01,logit_diff,7,0,YY+1,-0.000039,
yy01,logit_diff,7,0,END,-0.001263,
yy01,logit_diff,7,1,NOUN,0.000000,
yy01,logit_diff,7,1,XX1,0.000000,
yy01,logit_diff,7,1,YY,-0.000002,
yy01,logit_diff,7,1,YY+1,-0.000029,
yy01,logit_diff,7,1,END,-0.000444,
yy01,logit_diff,7,2,NOUN,0.000000,
yy01,logit_diff,7,2,XX1,0.000000,
yy01,logit_diff,7,2,YY,0.000041,
yy01,logit_diff,7,2,YY+1,-0.000006,
yy01,logit_diff,7,2,END,-0.000255,
yy01,logit_diff,7,3,NOUN,0.000000,
yy01,logit_diff,7,3,XX1,0.000000,
yy01,logit_diff,7,3,YY,0.003209,
yy01,logit_diff,7,3,YY+1,0.000057,
yy01,logit_diff,7,3,END,0.000958,
yy01,logit_diff,7,4,NOUN,0.000000,
yy01,logit_diff,7,4,XX1,0.000000,
yy01,logit_diff,7,4,YY,0.000754,
yy01,logit_diff,7,4,YY+1,-0.000169,
yy01,logit_diff,7,4,END,0.000018,
yy01,logit_diff,7,5,NOUN,0.000000,
yy01,logit_diff,7,5,XX1,0.000000,
yy01,logit_diff,7,5,YY,-0.000126,
yy01,logit_diff,7,5,YY+1,0.000306,
yy01,logit_diff,7,5,END,-0.003072,
yy01,logit_diff,7,6,NOUN,0.000000,
yy01,logit_diff,7,6,XX1,0.000000,
yy01,logit_diff,7,6,YY,0.000369,
yy01,logit_diff,7,6,YY+1,0.000103,
yy01,logit_diff,7,6,END,-0.001557,
yy01,logit_diff,7,7,NOUN,0.000000,
yy01,logit_diff,7,7,XX1,0.000000,
yy01,logit_diff,7,7,YY,-0.000017,
yy01,logit_diff,7,7,YY+1,0.000303,
yy01,logit_diff,7,7,END,0.002308,
yy01,logit_diff,7,8,NOUN,0.000000,
yy01,logit_diff,7,8,XX1,0.000000,
yy01,logit_diff,7,8,YY,-0.001500,
yy01,logit_diff,7,8,YY+1,0.000226,
yy01,logit_diff,7,8,END,0.000926,
yy01,logit_diff,7,9,NOUN,0.000000,
yy01,logit_diff,7,9,XX1,0.000000,
yy01,logit_diff,7,9,YY,-0.000040,
yy01,logit_diff,7,9,YY+1,-0.000079,
yy01,logit_diff,7,9,END,-0.001366,
yy01,logit_diff,7,10,NOUN,0.000000,year head -> MLP 8
yy01,logit_diff,7,10,XX1,0.000000,year head -> MLP 8
yy01,logit_diff,7,10,YY,-0.000018,year head -> MLP 8
yy01,logit_diff,7,10,YY+1,-0.000174,year head -> MLP 8
yy01,logit_diff,7,10,END,0.134557,year head -> MLP 8
yy01,logit_diff,7,11,NOUN,0.000000,
yy01,logit_diff,7,11,XX1,0.000000,
yy01,logit_diff,7,11,YY,-0.000702,
yy01,logit_diff,7,11,YY+1,-0.000080,
yy01,logit_diff,7,11,END,0.007906,
yy01,logit_diff,8,0,NOUN,0.000000,
yy01,logit_diff,8,0,XX1,0.000000,
yy01,logit_diff,8,0,YY,0.000080,
yy01,logit_diff,8,0,YY+1,-0.000018,
yy01,logit_diff,8,0,END,0.000378,
yy01,logit_diff,8,1,NOUN,0.000000,
yy01,logit_diff,8,1,XX1,0.000000,
yy01,logit_diff,8,1,YY,-0.000000,
yy01,logit_diff,8,1,YY+1,0.000017,
yy01,logit_diff,8,1,END,0.013344,
yy01,logit_diff,8,2,NOUN,0.000000,
yy01,logit_diff,8,2,XX1,0.000000,
yy01,logit_diff,8,2,YY,-0.000738,
yy01,logit_diff,8,2,YY+1,0.000019,
yy01,logit_diff,8,2,END,0.000631,
yy01,logit_diff,8,3,NOUN,0.000000,
yy01,logit_diff,8,3,XX1,0.000000,
yy01,logit_diff,8,3,YY,0.000129,
yy01,logit_diff,8,3,YY+1,-0.000042,
yy01,logit_diff,8,3,END,0.000078,
yy01,logit_diff,8,4,NOUN,0.000000,
yy01,logit_diff,8,4,XX1,0.000000,
yy01,logit_diff,8,4,YY,-0.000168,
yy01,logit_diff,8,4,YY+1,-0.000003,
yy01,logit_diff,8,4,END,-0.000221,
yy01,logit_diff,8,5,NOUN,0.000000,
yy01,logit_diff,8,5,XX1,0.000000,
yy01,logit_diff,8,5,YY,0.000012,
yy01,logit_diff,8,5,YY+1,0.000012,
yy01,logit_diff,8,5,END,0.000705,
yy01,logit_diff,8,6,NOUN,0.000000,
yy01,logit_diff,8,6,XX1,0.000000,
yy01,logit_diff,8,6,YY,0.000048,
yy01,logit_diff,8,6,YY+1,0.000027,
yy01,logit_diff,8,6,END,-0.004361,
yy01,logit_diff,8,7,NOUN,0.000000,
yy01,logit_diff,8,7,XX1,0.000000,
yy01,logit_diff,8,7,YY,0.000410,
yy01,logit_diff,8,7,YY+1,0.000007,
yy01,logit_diff,8,7,END,0.005449,
yy01,logit_diff,8,8,NOUN,0.000000,year head -> MLP 8
yy01,logit_diff,8,8,XX1,0.000000,year head -> MLP 8
yy01,logit_diff,8,8,YY,-0.000080,year head -> MLP 8
yy01,logit_diff,8,8,YY+1,-0.000085,year head -> MLP 8
yy01,logit_diff,8,8,END,0.029261,year head -> MLP 8
yy01,logit_diff,8,9,NOUN,0.000000,
yy01,logit_diff,8,9,XX1,0.000000,
yy01,logit_diff,8,9,YY,-0.000261,
yy01,logit_diff,8,9,YY+1,-0.000017,
yy01,logit_diff,8,9,END,-0.015214,
yy01,logit_diff,8,10,NOUN,0.000000,
yy01,logit_diff,8,10,XX1,0.000000,
yy01,logit_diff,8,10,YY,0.000086,
