corruption,metric,layer,head,effect,published_class
abc,logit_diff,8,6,-0.014237,s-inhibition
abc,logit_diff,8,7,0.001220,
abc,logit_diff,8,8,-0.004702,
abc,logit_diff,8,9,0.001072,
abc,logit_diff,8,10,0.062820,s-inhibition
abc,logit_diff,8,11,0.006017,
abc,logit_diff,9,0,0.018173,backup name mover
abc,logit_diff,9,1,0.000125,
abc,logit_diff,9,2,0.011428,
abc,logit_diff,9,3,0.003543,
abc,logit_diff,9,4,-0.004238,
abc,logit_diff,9,5,0.013572,
abc,logit_diff,9,6,0.292192,name mover
abc,logit_diff,9,7,0.041342,backup name mover
abc,logit_diff,9,8,-0.016452,
abc,logit_diff,9,9,0.781969,name mover
abc,logit_diff,9,10,-0.000261,
abc,logit_diff,9,11,-0.001045,
abc,logit_diff,10,0,0.185301,name mover
abc,logit_diff,10,1,0.075848,backup name mover
abc,logit_diff,10,2,0.025203,backup name mover
abc,logit_diff,10,3,0.005942,
abc,logit_diff,10,4,-0.001031,
abc,logit_diff,10,5,0.000286,
abc,logit_diff,10,6,0.091757,backup name mover
abc,logit_diff,10,7,-0.511409,negative name mover
abc,logit_diff,10,8,-0.000205,
abc,logit_diff,10,9,0.004797,
abc,logit_diff,10,10,0.134959,backup name mover
abc,logit_diff,10,11,0.003149,
abc,logit_diff,11,0,0.002434,
abc,logit_diff,11,1,-0.000686,
abc,logit_diff,11,2,-0.114896,backup name mover
abc,logit_diff,11,3,0.015804,
abc,logit_diff,11,4,-0.000805,
abc,logit_diff,11,5,-0.001291,
abc,logit_diff,11,6,-0.009073,
abc,logit_diff,11,7,0.002309,
abc,logit_diff,11,8,0.008476,
abc,logit_diff,11,9,0.002741,backup name mover
abc,logit_diff,11,10,-0.241144,negative name mover
abc,logit_diff,11,11,0.002372,
abc,kl,0,0,0.001440,
abc,kl,0,1,0.036629,duplicate token
abc,kl,0,2,0.000724,
abc,kl,0,3,0.023901,
abc,kl,0,4,0.029065,
abc,kl,0,5,0.024795,
abc,kl,0,6,0.004906,
abc,kl,0,7,0.000822,
abc,kl,0,8,0.001257,
abc,kl,0,9,-0.000826,
abc,kl,0,10,-0.004717,duplicate token
abc,kl,0,11,0.000227,
abc,kl,1,0,0.000607,
abc,kl,1,1,0.000147,
abc,kl,1,2,-0.000214,
abc,kl,1,3,-0.000804,
abc,kl,1,4,0.000337,
abc,kl,1,5,-0.002422,
abc,kl,1,6,0.001475,
abc,kl,1,7,0.001176,
abc,kl,1,8,-0.000596,
abc,kl,1,9,-0.000189,
abc,kl,1,10,-0.000397,
abc,kl,1,11,0.002510,
abc,kl,2,0,0.000362,
abc,kl,2,1,0.001630,
abc,kl,2,2,0.001777,previous token
abc,kl,2,3,0.000263,
abc,kl,2,4,0.000833,
abc,kl,2,5,0.000170,
abc,kl,2,6,-0.000738,
abc,kl,2,7,-0.001887,
abc,kl,2,8,-0.000272,
abc,kl,2,9,0.001311,
abc,kl,2,10,0.000713,
abc,kl,2,11,-0.000228,
abc,kl,3,0,-0.018128,duplicate token
abc,kl,3,1,-0.000191,
abc,kl,3,2,0.000301,
abc,kl,3,3,0.001095,
abc,kl,3,4,-0.001158,
abc,kl,3,5,-0.001089,
abc,kl,3,6,0.004310,
abc,kl,3,7,0.000784,
abc,kl,3,8,-0.000231,
abc,kl,3,9,0.000447,
abc,kl,3,10,-0.000412,
abc,kl,3,11,0.000266,
abc,kl,4,0,0.000337,
abc,kl,4,1,-0.000309,
abc,kl,4,2,0.000379,
abc,kl,4,3,0.004114,
abc,kl,4,4,-0.001240,
abc,kl,4,5,0.000284,
abc,kl,4,6,-0.000921,
abc,kl,4,7,-0.002021,
abc,kl,4,8,-0.000940,
abc,kl,4,9,0.000521,
abc,kl,4,10,-0.000441,
abc,kl,4,11,0.003213,previous token
abc,kl,5,0,-0.000510,
abc,kl,5,1,0.001270,
abc,kl,5,2,0.000665,
abc,kl,5,3,0.000542,
abc,kl,5,4,-0.000361,
abc,kl,5,5,-0.038281,induction
abc,kl,5,6,0.000499,
abc,kl,5,7,0.000637,
abc,kl,5,8,-0.004557,induction
abc,kl,5,9,-0.019082,induction
abc,kl,5,10,0.005347,
abc,kl,5,11,-0.000802,
abc,kl,6,0,0.003942,
abc,kl,6,1,0.001176,
abc,kl,6,2,-0.001506,
abc,kl,6,3,-0.001615,
abc,kl,6,4,0.002957,
abc,kl,6,5,0.001185,
abc,kl,6,6,0.001328,
abc,kl,6,7,-0.000924,
abc,kl,6,8,0.001567,
abc,kl,6,9,0.000356,induction
abc,kl,6,10,-0.001168,
abc,kl,6,11,-0.000488,
abc,kl,7,0,0.000540,
abc,kl,7,1,0.001109,
abc,kl,7,2,0.000174,
abc,kl,7,3,0.018905,s-inhibition
abc,kl,7,4,-0.000328,
abc,kl,7,5,0.001590,
abc,kl,7,6,0.000538,
abc,kl,7,7,-0.001772,
abc,kl,7,8,0.000868,
abc,kl,7,9,-0.022697,s-inhibition
abc,kl,7,10,0.000542,
abc,kl,7,11,-0.003722,
abc,kl,8,0,-0.001506,
abc,kl,8,1,0.000379,
abc,kl,8,2,0.004164,
abc,kl,8,3,0.014990,
abc,kl,8,4,0.000121,
abc,kl,8,5,-0.005188,
abc,kl,8,6,-0.089231,s-inhibition
abc,kl,8,7,0.000991,
abc,kl,8,8,0.002770,
abc,kl,8,9,0.000374,
abc,kl,8,10,0.001539,s-inhibition
