layer,head,position,normalized_effect,published_class
7,7,S2+1,-0.000283,
7,7,END,-0.000794,
7,8,IO,0.000000,
7,8,IO+1,0.000000,
7,8,S1,0.000000,
7,8,S1+1,0.000000,
7,8,S2,0.000393,
7,8,S2+1,-0.000331,
7,8,END,-0.007035,
7,9,IO,0.000000,s-inhibition
7,9,IO+1,0.000000,s-inhibition
7,9,S1,0.000000,s-inhibition
7,9,S1+1,0.000000,s-inhibition
7,9,S2,0.000680,s-inhibition
7,9,S2+1,0.006132,s-inhibition
7,9,END,0.194225,s-inhibition
7,10,IO,0.000000,
7,10,IO+1,0.000000,
7,10,S1,0.000000,
7,10,S1+1,0.000000,
7,10,S2,0.001017,
7,10,S2+1,0.000003,
7,10,END,-0.000081,
7,11,IO,0.000000,
7,11,IO+1,0.000000,
7,11,S1,0.000000,
7,11,S1+1,0.000000,
7,11,S2,-0.000653,
7,11,S2+1,-0.000071,
7,11,END,-0.001270,
8,0,IO,0.000000,
8,0,IO+1,0.000000,
8,0,S1,0.000000,
8,0,S1+1,0.000000,
8,0,S2,0.000161,
8,0,S2+1,-0.000111,
8,0,END,-0.001189,
8,1,IO,0.000000,
8,1,IO+1,0.000000,
8,1,S1,0.000000,
8,1,S1+1,0.000000,
8,1,S2,-0.000063,
8,1,S2+1,0.000004,
8,1,END,0.000232,
8,2,IO,0.000000,
8,2,IO+1,0.000000,
8,2,S1,0.000000,
8,2,S1+1,0.000000,
8,2,S2,-0.000077,
8,2,S2+1,-0.000339,
8,2,END,-0.007126,
8,3,IO,0.000000,
8,3,IO+1,0.000000,
8,3,S1,0.000000,
8,3,S1+1,0.000000,
8,3,S2,-0.000016,
8,3,S2+1,-0.000389,
8,3,END,0.010407,
8,4,IO,0.000000,
8,4,IO+1,0.000000,
8,4,S1,0.000000,
8,4,S1+1,0.000000,
8,4,S2,-0.000257,
8,4,S2+1,-0.000012,
8,4,END,-0.000312,
8,5,IO,0.000000,
8,5,IO+1,0.000000,
8,5,S1,0.000000,
8,5,S1+1,0.000000,
8,5,S2,0.000818,
8,5,S2+1,-0.000219,
8,5,END,-0.006261,
8,6,IO,0.000000,s-inhibition
8,6,IO+1,0.000000,s-inhibition
8,6,S1,0.000000,s-inhibition
8,6,S1+1,0.000000,s-inhibition
8,6,S2,-0.000038,s-inhibition
8,6,S2+1,0.007381,s-inhibition
8,6,END,0.268710,s-inhibition
8,7,IO,0.000000,
8,7,IO+1,0.000000,
8,7,S1,0.000000,
8,7,S1+1,0.000000,
8,7,S2,-0.000153,
8,7,S2+1,0.000016,
8,7,END,0.004496,
8,8,IO,0.000000,
8,8,IO+1,0.000000,
8,8,S1,0.000000,
8,8,S1+1,0.000000,
8,8,S2,0.000018,
8,8,S2+1,-0.000080,
8,8,END,-0.001047,
8,9,IO,0.000000,
8,9,IO+1,0.000000,
8,9,S1,0.000000,
8,9,S1+1,0.000000,
8,9,S2,-0.000067,
8,9,S2+1,0.000152,
8,9,END,0.000274,
8,10,IO,0.000000,s-inhibition
8,10,IO+1,0.000000,s-inhibition
8,10,S1,0.000000,s-inhibition
8,10,S1+1,0.000000,s-inhibition
8,10,S2,-0.004035,s-inhibition
8,10,S2+1,0.010110,s-inhibition
8,10,END,0.253316,s-inhibition
8,11,IO,0.000000,
8,11,IO+1,0.000000,
8,11,S1,0.000000,
8,11,S1+1,0.000000,
8,11,S2,0.000263,
8,11,S2+1,0.000080,
8,11,END,0.002257,
9,0,IO,0.000000,backup name mover
9,0,IO+1,0.000000,backup name mover
9,0,S1,0.000000,backup name mover
9,0,S1+1,0.000000,backup name mover
9,0,S2,-0.000344,backup name mover
